Sun Dec 27 19:49:19 +0000 2015,681200204079599616,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",AyhanAydinli,Germany / Ludwigshafen,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 19:31:04 +0000 2015,681195612482715651,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",s4l1h,WORLD,,,RT @osmanmakal: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/Lc6ADjtAu0 @voransoy aracılığıyla

Sun Dec 27 18:16:12 +0000 2015,681176770360569857,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",cetinkayamikail,istanbul,,,Nic.tr’nin yaşadığı DDoS problemi üzerine… https://t.co/pLXdYt21JB

Sun Dec 27 18:00:07 +0000 2015,681172724316635137,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",kaanmehmet471,https://photos.app.goo.gl/cnzRAvddYR3WJoic9,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 17:26:10 +0000 2015,681164178120404994,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",arsenlepen,Ankara - İstanbul,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sun Dec 27 17:23:43 +0000 2015,681163564552425472,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ardamendes,Istanbul,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sun Dec 27 17:19:09 +0000 2015,681162414902145028,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",esers_,Mars,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

